Num of block,Count,Time
8100,1,3335
8100,2,1367
8100,3,1374
8100,4,1334
8100,5,1280
8100,6,1486
8100,7,1320
8100,8,1303
8100,9,1493
8100,10,1322
8200,1,3110
8200,2,1355
8200,3,1430
8200,4,1335
8200,5,1438
8200,6,1438
8200,7,1470
8200,8,1338
8200,9,1300
8200,10,1362
8300,1,3726
8300,2,1374
8300,3,1508
8300,4,1347
8300,5,1320
8300,6,1391
8300,7,1333
8300,8,1368
8300,9,1376
8300,10,1377
8400,1,3762
8400,2,1457
8400,3,1410
8400,4,1573
8400,5,1505
8400,6,1406
8400,7,1530
8400,8,1443
8400,9,1647
8400,10,1354
8500,1,3650
8500,2,1548
8500,3,1534
8500,4,1554
8500,5,1457
8500,6,1599
8500,7,1350
8500,8,1670
8500,9,1502
8500,10,1656
8600,1,3987
8600,2,1640
8600,3,1474
8600,4,1620
8600,5,1501
8600,6,1616
8600,7,1492
8600,8,1598
8600,9,1531
8600,10,1602
8700,1,3899
8700,2,1763
8700,3,1424
8700,4,1689
8700,5,1513
8700,6,1569
8700,7,1520
8700,8,1617
8700,9,1599
8700,10,1615
8800,1,2999
8800,2,1465
8800,3,1645
8800,4,1508
8800,5,1564
8800,6,1511
8800,7,1657
8800,8,1524
8800,9,1680
8800,10,1511
8900,1,3858
8900,2,1499
8900,3,1642
8900,4,1547
8900,5,1562
8900,6,1689
8900,7,1579
8900,8,1598
8900,9,1633
8900,10,1474
9000,1,4209
9000,2,1697
9000,3,1434
9000,4,1615
9000,5,1649
9000,6,1571
9000,7,1670
9000,8,1550
9000,9,1530
9000,10,1634
9100,1,3754
9100,2,1716
9100,3,1485
9100,4,1734
9100,5,1441
9100,6,1569
9100,7,1635
9100,8,1650
9100,9,1597
9100,10,1658
9200,1,3620
9200,2,1629
9200,3,1530
9200,4,1614
9200,5,1533
9200,6,1568
9200,7,1571
9200,8,1686
9200,9,1576
9200,10,1530
9300,1,3799
9300,2,1546
9300,3,1644
9300,4,1645
9300,5,1599
9300,6,1525
9300,7,1719
9300,8,1555
9300,9,1631
9300,10,1563
9400,1,3996
9400,2,1619
9400,3,1656
9400,4,1680
9400,5,1535
9400,6,1699
9400,7,1607
9400,8,1631
9400,9,1729
9400,10,1587
9500,1,4326
9500,2,1632
9500,3,1762
9500,4,1625
9500,5,1865
9500,6,1661
9500,7,1688
9500,8,1536
9500,9,1749
9500,10,1629
9600,1,4204
9600,2,1637
9600,3,1656
9600,4,1795
9600,5,1581
9600,6,1829
9600,7,1710
9600,8,1881
9600,9,1691
9600,10,1590
9700,1,4184
9700,2,1712
9700,3,1754
9700,4,1737
9700,5,1720
9700,6,1811
9700,7,1606
9700,8,1699
9700,9,1612
9700,10,1830
9800,1,4709
9800,2,1813
9800,3,1687
9800,4,1739
9800,5,1740
9800,6,1750
9800,7,1724
9800,8,1819
9800,9,1708
9800,10,1675
9900,1,4340
9900,2,1877
9900,3,1842
9900,4,1786
9900,5,1752
9900,6,1791
9900,7,1658
9900,8,1800
9900,9,1781
9900,10,1726
10000,1,4433
10000,2,1751
10000,3,1697
10000,4,1645
10000,5,1832
10000,6,1896
10000,7,1792
10000,8,1695
10000,9,1850
10000,10,1911
10100,1,4545
10100,2,1731
10100,3,1887
10100,4,1831
10100,5,1648
10100,6,1866
10100,7,1801
10100,8,1720
10100,9,1956
10100,10,1775
10200,1,4741
10200,2,1981
10200,3,1722
10200,4,1908
10200,5,1863
10200,6,1833
10200,7,1690
10200,8,1917
