Num of block,Count,Time
7100,1,1352
7100,2,1832
7100,3,889
7100,4,893
7100,5,899
7100,6,1011
7100,7,845
7100,8,899
7100,9,889
7100,10,861
7200,1,2547
7200,2,823
7200,3,900
7200,4,909
7200,5,860
7200,6,951
7200,7,974
7200,8,972
7200,9,962
7200,10,945
7300,1,2441
7300,2,894
7300,3,846
7300,4,877
7300,5,899
7300,6,910
7300,7,904
7300,8,866
7300,9,883
7300,10,907
7400,1,2512
7400,2,974
7400,3,893
7400,4,922
7400,5,1002
7400,6,996
7400,7,899
7400,8,1041
7400,9,1126
7400,10,1002
7500,1,2507
7500,2,913
7500,3,1030
7500,4,1007
7500,5,1007
7500,6,1036
7500,7,1006
7500,8,984
7500,9,1024
7500,10,886
7600,1,2452
7600,2,942
7600,3,968
7600,4,972
7600,5,867
7600,6,898
7600,7,890
7600,8,967
7600,9,943
7600,10,916
7700,1,1531
7700,2,1918
7700,3,1041
7700,4,973
7700,5,881
7700,6,994
7700,7,1025
7700,8,906
7700,9,972
7700,10,1010
7800,1,2587
7800,2,936
7800,3,936
7800,4,987
7800,5,1031
7800,6,1006
7800,7,999
7800,8,1012
7800,9,1022
7800,10,922
7900,1,2635
7900,2,1014
7900,3,1013
7900,4,998
7900,5,999
7900,6,976
7900,7,989
7900,8,1013
7900,9,1067
7900,10,1005
8000,1,1353
8000,2,2210
8000,3,1003
8000,4,995
8000,5,1022
8000,6,1022
8000,7,1017
8000,8,1015
8000,9,1026
8000,10,1028
8100,1,2857
8100,2,1024
8100,3,1082
8100,4,1005
8100,5,1115
8100,6,1047
8100,7,1026
8100,8,1061
8100,9,980
8100,10,1016
8200,1,1671
8200,2,2113
8200,3,1088
8200,4,1029
8200,5,1009
8200,6,1108
8200,7,1041
8200,8,1030
8200,9,1050
8200,10,1044
8300,1,2736
8300,2,1087
8300,3,1044
8300,4,1035
8300,5,1045
8300,6,1061
8300,7,1040
8300,8,1134
8300,9,1050
8300,10,1040
8400,1,2576
8400,2,1059
8400,3,1042
8400,4,1092
8400,5,1041
8400,6,1049
8400,7,1011
8400,8,1052
8400,9,1050
8400,10,1034
8500,1,2728
8500,2,1091
8500,3,1055
8500,4,1043
8500,5,1026
8500,6,1099
8500,7,1054
8500,8,1100
8500,9,1165
8500,10,1033
8600,1,2827
8600,2,1073
8600,3,1039
8600,4,1025
8600,5,1131
8600,6,1045
8600,7,1054
8600,8,1161
8600,9,1061
8600,10,1050
8700,1,1396
8700,2,2459
8700,3,1052
8700,4,1134
8700,5,1046
8700,6,1057
8700,7,1070
8700,8,1115
8700,9,1069
8700,10,1056
8800,1,1481
8800,2,2320
8800,3,1091
8800,4,1173
8800,5,1045
8800,6,1028
8800,7,1091
8800,8,1042
8800,9,1184
8800,10,1192
8900,1,1418
8900,2,2735
8900,3,1076
8900,4,1066
8900,5,1021
8900,6,1089
8900,7,1059
8900,8,1104
8900,9,1153
8900,10,1168
9000,1,3200
9000,2,1039
9000,3,1164
9000,4,1165
9000,5,1160
9000,6,1163
9000,7,1142
9000,8,1051
9000,9,1191
9000,10,1158
9100,1,1691
9100,2,2376
9100,3,1202
9100,4,1077
9100,5,1227
9100,6,1087
9100,7,1129
9100,8,1212
9100,9,1182
9100,10,1061
9200,1,1505
9200,2,2616
9200,3,1210
9200,4,1161
9200,5,1167
9200,6,1151
9200,7,1182
9200,8,1181
9200,9,1242
9200,10,1184
9300,1,3453
9300,2,1156
9300,3,1185
9300,4,1157
9300,5,1186
9300,6,1208
9300,7,1197
9300,8,1180
9300,9,1184
9300,10,1189
9400,1,2871
9400,2,1250
9400,3,1182
9400,4,1230
9400,5,1185
9400,6,1299
9400,7,1194
9400,8,1206
9400,9,1212
9400,10,1167
